Age,Salary,Gender,Marital Status,Years of Experience
26,27913,Male,Single,20
30,156916,Prefer Not to Say,Divorced,1
38,133623,Female,Divorced,9
56,27946,Male,Single,5
23,82778,Female,Single,3
65,132109,Male,Married,18
65,61539,Female,Divorced,13
34,102485,Male,Single,17
22,69650,Female,Married,16
22,147814,Male,Single,14
23,53070,Male,Married,5
47,194256,Female,Single,9
60,181789,Male,Married,25
21,58444,Prefer Not to Say,Divorced,6
31,153157,Prefer Not to Say,Divorced,13
31,174745,Male,Married,12
27,28255,Female,Single,21
30,101386,Female,Divorced,22
25,103250,Male,Married,21
62,121396,Male,Married,2
46,119319,Female,Divorced,8
50,179892,Male,Divorced,2
29,15973,Prefer Not to Say,Married,11
64,110747,Male,Single,7
65,163995,Male,Divorced,1
54,148949,Prefer Not to Say,Divorced,12
42,134380,Prefer Not to Say,Single,24
49,163230,Male,Divorced,13
47,86082,Female,Single,9
41,85591,Female,Divorced,15
42,79004,Male,Married,1
29,168681,Prefer Not to Say,Married,12
34,199926,Prefer Not to Say,Married,25
39,66458,Male,Divorced,18
45,59597,Prefer Not to Say,Divorced,19
47,139513,Female,Divorced,19
35,185303,Prefer Not to Say,Divorced,10
54,143982,Male,Married,14
26,48372,Female,Single,16
24,110723,Male,Single,19
57,81867,Female,Married,17
34,122306,Prefer Not to Say,Single,14
25,73582,Female,Single,6
61,21448,Female,Single,22
59,52824,Female,Divorced,7
48,152271,Prefer Not to Say,Divorced,18
44,138877,Prefer Not to Say,Married,8
29,197882,Prefer Not to Say,Single,24
43,32938,Female,Single,12
60,69296,Female,Single,15
60,102278,Male,Married,12
35,196118,Prefer Not to Say,Married,21
31,177697,Female,Single,9
48,37198,Prefer Not to Say,Single,4
25,73061,Prefer Not to Say,Single,7
43,61610,Prefer Not to Say,Single,24
52,35573,Male,Single,18
50,31976,Female,Divorced,13
44,112313,Prefer Not to Say,Married,8
20,129797,Male,Divorced,24
29,140644,Prefer Not to Say,Single,15
62,129365,Female,Married,20
61,156139,Male,Single,8
34,136989,Female,Married,24
55,29903,Prefer Not to Say,Divorced,15
33,95127,Prefer Not to Say,Married,25
42,166404,Female,Single,7
49,45667,Female,Married,19
28,72989,Female,Married,10
40,110771,Prefer Not to Say,Divorced,8
21,72112,Male,Divorced,20
34,29398,Prefer Not to Say,Divorced,11
60,145096,Prefer Not to Say,Married,16
52,65572,Male,Single,25
59,126047,Male,Married,18
56,120903,Prefer Not to Say,Divorced,23
44,12423,Male,Married,8
48,192723,Female,Single,19
25,40166,Prefer Not to Say,Married,9
59,145779,Female,Married,15
29,59955,Prefer Not to Say,Divorced,12
61,9653,Prefer Not to Say,Married,3
32,143162,Male,Married,14
22,135372,Prefer Not to Say,Divorced,1
44,20667,Male,Married,15
25,115232,Male,Single,14
50,74374,Female,Divorced,17
18,49546,Prefer Not to Say,Divorced,16
57,110228,Male,Single,5
27,75338,Male,Divorced,7
58,43361,Female,Divorced,21
31,149492,Male,Single,16
28,22379,Female,Married,22
61,109907,Male,Divorced,11
31,159983,Female,Divorced,23
22,63009,Prefer Not to Say,Single,10
41,83538,Female,Divorced,20
30,57675,Prefer Not to Say,Divorced,24
26,157839,Male,Single,9
58,104145,Male,Single,21
31,113179,Prefer Not to Say,Divorced,10
40,71748,Male,Divorced,6
23,64537,Prefer Not to Say,Single,9
64,170995,Male,Divorced,8
25,130708,Male,Single,2
43,100011,Female,Single,5
63,24557,Prefer Not to Say,Single,20
57,50218,Female,Single,2
19,159929,Male,Single,17
57,128246,Prefer Not to Say,Single,23
49,30825,Prefer Not to Say,Divorced,4
21,113661,Prefer Not to Say,Single,14
43,128503,Male,Single,10
59,140961,Male,Single,24
20,139551,Male,Married,17
44,28323,Male,Divorced,17
47,46307,Prefer Not to Say,Married,24
30,81967,Female,Married,13
42,170475,Prefer Not to Say,Single,25
53,182617,Male,Single,7
40,81485,Female,Divorced,2
65,43893,Male,Single,25
46,113299,Prefer Not to Say,Married,3
34,126347,Female,Single,3
54,155870,Female,Single,20
45,6157,Male,Single,22
43,68169,Male,Married,21
41,15078,Prefer Not to Say,Divorced,22
37,85011,Female,Divorced,19
63,156020,Female,Married,17
27,15312,Female,Single,21
20,6221,Male,Married,19
33,174866,Male,Divorced,2
42,150792,Male,Married,19
46,36204,Male,Divorced,9
57,127258,Male,Divorced,18
26,50311,Prefer Not to Say,Divorced,1
25,94551,Male,Divorced,18
18,30636,Female,Divorced,4
41,90014,Prefer Not to Say,Divorced,24
65,153043,Female,Divorced,9
39,89535,Female,Divorced,25
41,142567,Prefer Not to Say,Divorced,21
19,95331,Male,Single,5
52,143331,Male,Single,12
61,119652,Male,Single,22
52,111074,Prefer Not to Say,Single,20
57,113788,Female,Divorced,19
40,109903,Female,Single,20
26,169430,Male,Married,3
27,139822,Female,Divorced,12
26,88977,Prefer Not to Say,Married,6
51,195337,Female,Single,2
19,84991,Female,Single,16
63,184127,Male,Divorced,24
45,135543,Male,Divorced,19
51,6600,Prefer Not to Say,Divorced,24
28,199911,Prefer Not to Say,Married,24
64,73525,Prefer Not to Say,Married,11
51,159535,Female,Married,17
37,31524,Prefer Not to Say,Married,12
18,69606,Male,Married,22
20,160999,Prefer Not to Say,Single,17
62,44272,Male,Divorced,12
35,13880,Female,Single,1
38,26817,Prefer Not to Say,Divorced,10
65,10211,Male,Married,20
21,14792,Female,Divorced,19
42,150806,Prefer Not to Say,Divorced,1
55,96428,Male,Single,8
38,74894,Male,Married,2
35,102113,Prefer Not to Say,Married,7
48,34482,Prefer Not to Say,Married,8
18,42302,Prefer Not to Say,Divorced,22
48,188510,Male,Married,23
49,188519,Female,Divorced,4
34,83051,Prefer Not to Say,Divorced,3
24,189921,Female,Single,21
35,147791,Male,Married,10
49,7078,Female,Married,16
47,52626,Male,Single,11
53,18577,Male,Single,14
34,183786,Prefer Not to Say,Single,17
59,127268,Prefer Not to Say,Divorced,5
23,38164,Male,Single,18
31,186810,Male,Single,16
27,189029,Prefer Not to Say,Divorced,22
24,147439,Male,Married,11
23,65600,Male,Single,19
38,21194,Female,Divorced,15
31,159352,Male,Divorced,2
27,106828,Female,Single,18
29,59970,Male,Single,24
65,63887,Female,Married,21
54,117428,Prefer Not to Say,Divorced,12
36,45416,Male,Single,13
54,172365,Prefer Not to Say,Married,6
36,92033,Male,Single,12
53,124258,Female,Divorced,8
32,22129,Female,Married,13
55,10521,Male,Single,10
30,121218,Prefer Not to Say,Single,20
50,68969,Prefer Not to Say,Single,18
58,114897,Prefer Not to Say,Single,1
18,14331,Female,Divorced,12
20,125116,Male,Married,25
50,41333,Prefer Not to Say,Single,18
37,46701,Male,Single,9
42,105948,Prefer Not to Say,Single,10
24,153847,Prefer Not to Say,Divorced,12
34,85263,Prefer Not to Say,Married,7
45,116744,Prefer Not to Say,Single,4
46,195515,Male,Married,15
36,54022,Female,Single,1
21,193160,Female,Married,2
23,48745,Prefer Not to Say,Married,12
26,130476,Female,Married,18
19,34657,Female,Divorced,17
63,153302,Female,Married,9
18,8538,Male,Divorced,9
34,173383,Male,Married,3
47,6564,Female,Married,18
56,115695,Female,Single,19
35,89678,Prefer Not to Say,Married,25
64,194320,Prefer Not to Say,Single,9
63,48771,Female,Single,13
45,85538,Prefer Not to Say,Single,13
56,52979,Female,Divorced,19
39,55680,Male,Divorced,5
64,153262,Female,Divorced,15
37,60987,Prefer Not to Say,Married,10
45,194609,Male,Married,20
20,185622,Male,Single,1
41,131251,Prefer Not to Say,Married,20
63,19203,Prefer Not to Say,Married,12
46,27446,Prefer Not to Say,Divorced,24
23,177909,Female,Divorced,23
25,110400,Male,Single,4
45,110785,Male,Divorced,17
19,141143,Prefer Not to Say,Divorced,17
65,42848,Male,Divorced,23
33,56730,Prefer Not to Say,Married,18
63,163787,Male,Single,9
28,86766,Prefer Not to Say,Divorced,4
42,62698,Male,Married,15
48,142024,Prefer Not to Say,Single,14
26,93881,Female,Divorced,19
32,103490,Female,Divorced,6
62,82908,Female,Divorced,7
40,87414,Male,Divorced,21
36,63939,Prefer Not to Say,Married,15
31,139134,Male,Single,25
28,17751,Prefer Not to Say,Married,15
42,176165,Male,Single,19
37,57471,Female,Married,5
48,84532,Male,Married,3
61,194696,Male,Single,17
41,153336,Male,Married,10
43,48128,Male,Married,1
27,13984,Female,Divorced,8
45,48431,Female,Married,9
19,111610,Male,Married,18
46,27238,Male,Divorced,5
61,188994,Female,Divorced,13
37,62713,Male,Single,13
33,98240,Male,Married,13
31,22152,Male,Single,16
23,89638,Female,Divorced,9
65,27562,Female,Divorced,11
22,82452,Male,Married,23
48,159244,Female,Divorced,5
53,97109,Male,Divorced,2
32,98906,Male,Single,9
18,133974,Female,Single,11
48,38854,Female,Single,1
41,93560,Male,Divorced,22
45,178898,Female,Single,4
33,24184,Female,Divorced,15
28,122818,Female,Single,24
21,49148,Male,Divorced,4
42,183345,Prefer Not to Say,Single,13
50,111660,Male,Divorced,17
62,117484,Prefer Not to Say,Divorced,7
37,82274,Male,Married,4
48,155822,Female,Single,22
38,162286,Male,Divorced,1
41,19494,Male,Divorced,20
26,180402,Female,Single,25
28,22143,Prefer Not to Say,Married,25
28,57488,Male,Divorced,14
40,29326,Prefer Not to Say,Divorced,6
55,32595,Female,Divorced,17
22,41744,Prefer Not to Say,Married,6
54,137522,Female,Single,4
43,110389,Male,Single,9
63,91107,Male,Divorced,8
28,138161,Female,Single,1
19,114414,Male,Single,9
19,31627,Prefer Not to Say,Divorced,6
37,182040,Prefer Not to Say,Single,11
45,139564,Female,Divorced,1
28,28920,Male,Single,7
52,96402,Male,Married,10
28,15452,Prefer Not to Say,Married,11
47,66383,Male,Married,14
40,103397,Prefer Not to Say,Divorced,3
35,89885,Male,Single,24
23,132267,Prefer Not to Say,Married,21
53,104663,Male,Single,20
18,26915,Prefer Not to Say,Married,5
29,130853,Female,Divorced,4
29,138266,Prefer Not to Say,Married,9
19,92851,Female,Married,12
61,189894,Male,Single,5
55,178560,Female,Divorced,19
34,157059,Female,Divorced,12
44,77088,Prefer Not to Say,Married,20
45,127205,Female,Single,14
42,82126,Female,Single,23
57,149583,Prefer Not to Say,Divorced,9
39,195769,Prefer Not to Say,Divorced,8
28,120050,Prefer Not to Say,Single,1
20,8785,Male,Single,25
61,130740,Prefer Not to Say,Married,7
30,131421,Prefer Not to Say,Divorced,20
47,181557,Male,Married,14
61,51554,Female,Single,10
35,27110,Male,Divorced,10
18,6152,Male,Single,17
50,74894,Female,Single,25
42,107427,Female,Married,9
44,186064,Prefer Not to Say,Divorced,20
47,6636,Prefer Not to Say,Single,11
51,58315,Male,Married,18
59,149213,Male,Divorced,5
51,33974,Prefer Not to Say,Married,5
24,27347,Male,Divorced,9
28,124921,Female,Divorced,16
22,38024,Male,Single,7
51,44624,Female,Divorced,9
24,57105,Male,Married,17
55,30253,Male,Divorced,15
55,125484,Prefer Not to Say,Single,10
28,149221,Prefer Not to Say,Single,7
58,35034,Male,Married,12
18,136920,Male,Single,24
35,122268,Male,Single,13
44,76215,Male,Married,12
46,105594,Male,Single,24
39,142651,Prefer Not to Say,Divorced,16
32,188036,Male,Divorced,11
32,93843,Female,Married,4
42,70730,Female,Married,15
25,67652,Male,Divorced,5
61,158044,Female,Single,22
64,42707,Female,Married,12
27,29978,Female,Divorced,19
44,75356,Prefer Not to Say,Single,14
52,127531,Prefer Not to Say,Married,10
31,103242,Prefer Not to Say,Single,16
22,77347,Prefer Not to Say,Single,20
32,28941,Female,Divorced,8
29,153895,Female,Married,9
35,84560,Male,Married,15
57,44109,Male,Divorced,1
33,180861,Prefer Not to Say,Married,7
20,45624,Female,Single,24
20,177872,Female,Married,8
48,23991,Prefer Not to Say,Divorced,24
35,104648,Female,Single,8
62,92208,Female,Single,3
57,167650,Female,Single,2
47,164356,Male,Divorced,22
54,22938,Female,Divorced,21
51,7570,Female,Divorced,25
50,81520,Female,Single,12
46,113775,Prefer Not to Say,Married,14
33,161881,Prefer Not to Say,Married,4
35,170383,Female,Single,6
61,188176,Female,Divorced,23
29,34350,Prefer Not to Say,Married,25
44,23390,Male,Divorced,14
62,151585,Prefer Not to Say,Divorced,20
33,84515,Prefer Not to Say,Single,18
30,23212,Prefer Not to Say,Single,20
51,105587,Male,Married,9
45,129762,Prefer Not to Say,Single,6
39,114861,Prefer Not to Say,Single,3
50,112157,Male,Divorced,12
51,178928,Female,Divorced,13
30,102486,Male,Married,1
33,153118,Female,Divorced,4
43,177266,Male,Single,23
33,75525,Prefer Not to Say,Married,6
19,197907,Prefer Not to Say,Divorced,15
18,82479,Prefer Not to Say,Married,12
41,92379,Prefer Not to Say,Married,5
26,18805,Male,Divorced,14
55,95528,Prefer Not to Say,Married,13
65,115323,Male,Married,24
18,10135,Prefer Not to Say,Divorced,19
20,35974,Female,Married,14
21,40933,Prefer Not to Say,Divorced,19
65,49970,Prefer Not to Say,Single,3
55,19727,Male,Single,19
29,103567,Prefer Not to Say,Single,5
38,22322,Prefer Not to Say,Married,2
24,140360,Female,Single,6
24,31504,Male,Divorced,4
60,147393,Female,Divorced,8
48,9688,Female,Single,3
20,190922,Male,Married,10
36,13798,Prefer Not to Say,Divorced,21
47,191562,Male,Married,8
55,43309,Female,Married,22
43,114518,Prefer Not to Say,Married,21
46,166936,Male,Married,14
54,107033,Female,Married,15
31,96803,Female,Divorced,19
30,152175,Male,Single,5
64,109587,Female,Married,1
62,94749,Female,Married,8
48,150560,Prefer Not to Say,Married,24
25,193701,Prefer Not to Say,Married,22
45,136901,Female,Single,5
19,196934,Female,Single,8
33,158730,Male,Single,11
35,12592,Male,Divorced,21
21,91368,Male,Married,24
43,88144,Prefer Not to Say,Divorced,11
61,20341,Prefer Not to Say,Divorced,24
29,107293,Female,Divorced,11
26,120376,Male,Single,22
33,169664,Male,Single,25
25,160481,Male,Married,12
45,55179,Male,Married,24
36,176472,Male,Divorced,8
24,99158,Male,Married,22
58,124151,Male,Married,20
25,108436,Female,Single,10
42,87357,Female,Single,10
52,184794,Male,Divorced,22
56,59708,Male,Divorced,5
38,24096,Prefer Not to Say,Married,8
24,13056,Prefer Not to Say,Married,8
19,150330,Prefer Not to Say,Single,12
36,179048,Female,Divorced,3
59,60484,Prefer Not to Say,Single,2
58,51967,Female,Married,16
49,115947,Female,Divorced,6
59,89217,Prefer Not to Say,Single,22
20,165973,Prefer Not to Say,Divorced,3
43,123437,Male,Single,4
38,100715,Prefer Not to Say,Divorced,2
45,182546,Prefer Not to Say,Divorced,22
53,100400,Male,Single,16
32,150149,Prefer Not to Say,Divorced,21
24,30734,Prefer Not to Say,Single,10
54,139310,Male,Single,8
19,114563,Female,Single,25
31,75304,Female,Married,20
54,31528,Prefer Not to Say,Married,14
37,198465,Female,Married,1
39,130063,Female,Divorced,8
52,39415,Female,Married,9
46,57129,Female,Married,14
51,98608,Prefer Not to Say,Single,3
24,55555,Female,Divorced,13
64,106987,Male,Single,8
53,154411,Male,Single,17
40,161481,Prefer Not to Say,Single,3
20,53069,Male,Married,7
64,79620,Prefer Not to Say,Single,4
30,158547,Prefer Not to Say,Married,10
30,175315,Male,Divorced,11
46,66829,Prefer Not to Say,Single,20
58,26466,Male,Divorced,6
48,125032,Male,Single,15
47,156328,Prefer Not to Say,Married,14
58,66940,Male,Divorced,15
58,80106,Female,Divorced,17
21,9762,Male,Single,12
34,96803,Male,Divorced,8
63,107782,Prefer Not to Say,Divorced,25
64,146868,Male,Single,16
56,11915,Female,Married,14
19,120218,Male,Divorced,18
52,46901,Female,Divorced,12
46,8810,Female,Divorced,15
63,36571,Prefer Not to Say,Married,8
27,178838,Male,Divorced,8
27,88259,Prefer Not to Say,Single,7
29,24440,Female,Married,3
18,21485,Male,Single,24
29,162370,Female,Single,13
63,39775,Male,Divorced,20
56,115223,Male,Divorced,8
29,186775,Female,Married,5
51,24432,Prefer Not to Say,Single,6
35,133143,Prefer Not to Say,Divorced,13
30,46785,Female,Married,18
58,26664,Male,Single,10
62,68776,Prefer Not to Say,Married,20
33,165183,Male,Married,6
31,184265,Female,Single,8
47,196249,Male,Married,9
35,24915,Female,Married,13
18,167236,Male,Married,25
47,68103,Prefer Not to Say,Divorced,22
30,91506,Prefer Not to Say,Married,12
19,113517,Female,Married,19
40,41947,Prefer Not to Say,Single,7
46,72147,Male,Single,5
63,156085,Female,Married,6
18,59491,Prefer Not to Say,Single,25
50,76786,Female,Single,25
44,45420,Prefer Not to Say,Single,11
22,184566,Female,Single,11
30,88843,Male,Single,11
24,149050,Male,Married,5
46,28305,Female,Divorced,17
19,73087,Female,Single,7
65,56701,Female,Divorced,14
34,180507,Prefer Not to Say,Single,17
61,36872,Female,Married,7
33,52523,Female,Married,16
19,139993,Male,Divorced,16
44,65604,Prefer Not to Say,Divorced,24
41,171087,Female,Married,24
56,119227,Prefer Not to Say,Married,7
60,146409,Female,Single,3
61,7559,Female,Married,8
58,16476,Female,Divorced,14
21,161366,Male,Married,22
19,87005,Female,Divorced,25
22,9451,Female,Divorced,8
52,160514,Female,Divorced,15
42,87300,Prefer Not to Say,Married,15
38,11709,Prefer Not to Say,Single,4
61,38767,Female,Divorced,14
36,36078,Prefer Not to Say,Divorced,19
61,179267,Prefer Not to Say,Married,19
60,40526,Male,Divorced,15
33,79577,Male,Married,10
44,70944,Prefer Not to Say,Divorced,10
63,52100,Female,Divorced,21
51,178487,Prefer Not to Say,Divorced,5
42,87068,Prefer Not to Say,Married,20
52,162959,Female,Married,21
21,180562,Female,Divorced,14
43,146509,Prefer Not to Say,Married,7
53,185611,Male,Married,16
21,191406,Male,Divorced,15
32,180816,Male,Married,11
65,155647,Male,Divorced,18
52,173759,Prefer Not to Say,Divorced,7
21,68407,Male,Married,19
54,129559,Female,Single,1
48,99182,Female,Married,20
31,92168,Prefer Not to Say,Married,20
38,75331,Prefer Not to Say,Divorced,4
31,148585,Female,Divorced,6
37,94549,Male,Divorced,22
34,18225,Female,Single,7
53,6064,Prefer Not to Say,Married,19
22,160637,Female,Divorced,20
19,64236,Male,Divorced,8
25,15465,Female,Divorced,1
59,197799,Male,Single,4
45,28224,Male,Divorced,18
44,103146,Prefer Not to Say,Divorced,17
61,147436,Prefer Not to Say,Divorced,7
46,140183,Female,Divorced,20
46,78702,Male,Married,17
21,154353,Female,Single,13
39,148955,Male,Single,8
29,112739,Female,Divorced,13
19,156771,Male,Single,19
33,136837,Male,Single,5
33,97845,Male,Single,23
49,39405,Female,Single,18
22,68963,Female,Married,4
47,198757,Male,Divorced,6
31,182139,Male,Divorced,10
39,83218,Female,Single,25
36,63287,Male,Single,4
43,8253,Prefer Not to Say,Divorced,23
56,49222,Female,Divorced,5
48,138358,Female,Married,6
47,21667,Prefer Not to Say,Single,12
48,187352,Female,Divorced,16
25,74625,Female,Married,1
40,199721,Male,Married,7
50,101293,Female,Married,15
52,178054,Female,Married,13
46,27174,Female,Single,23
31,135802,Prefer Not to Say,Single,5
33,149071,Male,Married,13
31,40255,Prefer Not to Say,Single,15
51,118650,Prefer Not to Say,Married,5
59,35027,Male,Single,21
51,124867,Female,Married,6
60,191531,Male,Single,1
25,180736,Male,Married,5
56,78067,Male,Divorced,3
30,18213,Prefer Not to Say,Married,7
54,159946,Female,Married,20
38,177528,Male,Divorced,17
65,138385,Male,Divorced,22
34,78207,Female,Single,7
40,27725,Male,Married,9
55,16513,Prefer Not to Say,Single,23
44,185087,Male,Married,21
31,89561,Prefer Not to Say,Divorced,13
24,84200,Female,Single,12
30,187209,Female,Married,18
41,163232,Male,Divorced,16
65,140371,Female,Divorced,13
48,185820,Male,Married,25
22,35653,Prefer Not to Say,Married,1
62,170028,Female,Married,13
26,128826,Prefer Not to Say,Single,23
64,192744,Female,Married,8
36,79683,Prefer Not to Say,Married,14
57,19048,Male,Single,5
59,195649,Prefer Not to Say,Single,12
41,12792,Female,Married,21
22,53882,Male,Divorced,25
63,47259,Female,Single,15
61,84258,Female,Single,3
25,136024,Female,Divorced,13
33,150105,Male,Divorced,9
33,156518,Male,Divorced,4
49,191993,Female,Single,5
48,90252,Prefer Not to Say,Married,20
54,174734,Male,Married,2
33,105878,Prefer Not to Say,Divorced,5
50,82385,Male,Divorced,8
59,138339,Male,Divorced,17
23,164260,Prefer Not to Say,Single,7
47,41804,Male,Married,25
56,69691,Female,Married,25
49,66179,Female,Divorced,8
60,119922,Male,Divorced,23
63,159063,Prefer Not to Say,Divorced,1
20,114195,Prefer Not to Say,Married,7
19,99565,Female,Married,2
40,106616,Female,Single,21
46,186131,Prefer Not to Say,Divorced,11
58,153004,Male,Single,18
47,37380,Female,Divorced,9
46,33540,Male,Married,20
49,198834,Female,Single,1
60,134625,Male,Married,1
25,48334,Prefer Not to Say,Divorced,8
24,166445,Prefer Not to Say,Married,17
58,120661,Female,Single,18
41,55665,Female,Single,9
49,133828,Prefer Not to Say,Single,19
51,113115,Female,Married,23
33,177654,Female,Divorced,24
25,168510,Male,Divorced,24
27,105167,Prefer Not to Say,Divorced,3
43,142546,Male,Single,23
22,72289,Female,Married,12
33,129577,Female,Divorced,17
55,114448,Male,Married,16
57,120783,Prefer Not to Say,Divorced,17
48,180433,Male,Married,16
54,164337,Female,Single,11
50,14719,Male,Single,8
44,172867,Female,Married,10
48,136179,Female,Single,5
57,39956,Male,Divorced,7
43,126480,Female,Married,11
33,52728,Prefer Not to Say,Divorced,9
22,99421,Female,Married,19
47,164362,Prefer Not to Say,Single,19
36,157882,Prefer Not to Say,Married,18
44,23415,Female,Married,22
47,104050,Prefer Not to Say,Single,7
59,168015,Prefer Not to Say,Married,18
42,196539,Prefer Not to Say,Married,8
53,171967,Female,Divorced,9
49,143349,Male,Married,16
56,85552,Male,Married,18
20,108331,Prefer Not to Say,Single,2
37,190069,Prefer Not to Say,Single,13
39,121830,Male,Single,22
59,135274,Male,Divorced,22
31,169185,Male,Divorced,9
49,122417,Male,Single,23
20,89164,Male,Divorced,24
30,115803,Prefer Not to Say,Divorced,20
26,129546,Female,Divorced,5
52,5414,Prefer Not to Say,Single,20
33,9038,Male,Divorced,24
31,131586,Prefer Not to Say,Single,8
25,131791,Male,Married,20
